area,contact_is_private_seller,district,dpe,estate_type,ges,is_exclusive,price,rooms,sold,selling_time,old_price,appartment_size,price_decrease_percent,bedrooms,level,balcony,terrace,parking,elevator,box,garden,swimming_pool
20,0,3,E,Appartment,B,f,103000,2,n,,110000,studio,"6,36",1,3,0,0,0,1,0,0,0
23,0,1,F,Studio,C,f,120000,1,n,,0,studio,"0,00",0,3,0,0,0,0,0,0,0
22,0,1,C,Studio,A,f,120000,1,n,,0,studio,"0,00",0,1,0,0,0,1,0,0,0
31,0,3,F,Appartment,F,f,125000,2,n,,0,studio,"0,00",1,3,0,0,0,0,0,0,0
30,0,3,E,Appartment,B,f,128000,2,n,,135000,studio,"5,19",1,4,0,0,0,1,0,0,0
27,0,1,E,Studio,B,t,130000,1,y,2 months,140000,studio,"7,14",0,1,1,1,1,1,0,0,0
21,0,1,D,Studio,B,t,134000,1,n,,0,studio,"0,00",0,1,0,0,0,0,0,0,0
28,0,3,C,Appartment,A,t,140000,2,n,,0,studio,"0,00",1,1,0,0,0,0,0,0,0
33,0,4,C,Appartment,A,f,140000,2,n,,150000,studio,"6,67",1,6,0,0,0,0,0,0,0
44,0,1,F,Appartment,C,f,142000,3,y,1 month,0,small_1_bed,"0,00",2,5,0,0,0,0,0,0,0
31,0,4,A,Studio,A,t,144000,1,n,,0,studio,"0,00",0,4,1,0,0,0,0,0,0
25,0,2,G,Studio,C,f,144450,1,n,,0,studio,"0,00",0,1,1,0,0,0,1,0,0
28,0,3,C,Studio,A,f,147000,2,n,,152000,studio,"3,29",0,1,0,0,1,0,0,0,0
24,0,1,D,Studio,D,t,149000,1,n,,147700,studio,"-8,80",0,4,0,1,0,1,0,0,0
31,1,1,E,Appartment,B,f,149000,3,y,1 month,159000,studio,"6,29",1,2,0,1,0,0,0,1,0
23,0,1,C,Studio,A,t,150000,1,n,,0,studio,"0,00",0,3,0,1,0,0,0,0,0
35,0,1,C,Studio,A,f,150000,1,n,,0,studio,"0,00",0,5,0,0,0,1,0,0,0
37,0,1,C,Appartment,A,f,150000,2,n,,170000,small_1_bed,"11,76",1,5,0,0,0,1,0,0,0
37,0,3,F,Studio,F,t,152000,1,n,,0,small_1_bed,"0,00",0,4,1,0,0,1,0,0,0
39,0,4,E,Appartment,B,t,152688,2,y,2 months,161702,small_1_bed,"5,57",1,1,1,0,0,0,0,0,0
38,0,2,D,Appartment,B,t,156500,2,n,,0,small_1_bed,"0,00",1,3,0,1,1,1,0,1,0
46,0,2,D,Appartment,B,t,156500,2,n,,0,small_1_bed,"0,00",1,1,1,0,1,0,0,0,0
39,0,3,D,Studio,B,f,158000,1,n,,0,small_1_bed,"0,00",0,1,1,1,1,0,0,0,0
20,0,1,F,Studio,C,t,158000,1,n,,0,studio,"0,00",0,1,0,1,1,0,0,0,0
30,0,1,F,Studio,D,t,159000,1,n,,0,studio,"0,00",0,2,0,0,0,0,1,0,0
